Order_ID,Customer_Name,Product,Quantity,Price,Order_Date,Payment_Method,Delivery_Status
1048,Amit Sharma,Smartwatch,3,22093,13-01-2024,UPI,Shipped
1049,Vikram Kumar,Mobile,1,19501,15-11-2024,Net Banking,Shipped
1050,Riya Patel,Laptop,4,49137,28-07-2024,UPI,Delivered
1051,Anjali Singh,Laptop,1,17816,13-04-2024,Credit Card,Delivered
1052,Karan Mehta,Mobile,4,10969,20-11-2024,Debit Card,Shipped
1053,Sneha Sen,Smartwatch,3,28521,23-11-2024,UPI,Shipped
1054,Anjali Singh,Camera,1,7252,24-04-2024,Net Banking,Delivered
1055,Arjun Gupta,Smartwatch,5,18009,03-11-2024,UPI,Pending
1056,Vikram Kumar,Mobile,5,35236,24-09-2024,UPI,Delivered
1057,Vikram Kumar,Headphones,4,48780,14-09-2024,UPI,Shipped
1058,Sneha Sen,Mobile,2,2388,12-01-2024,Debit Card,Pending
1059,Sneha Sen,Camera,2,28900,07-11-2024,Debit Card,Cancelled
1060,Rahul Roy,Smartwatch,3,45027,29-08-2024,Debit Card,Shipped
1061,Neha Verma,Headphones,3,24786,17-01-2024,Debit Card,Cancelled
1062,Arjun Gupta,Laptop,1,2578,31-12-2024,Cash,Pending
1063,Karan Mehta,Tablet,5,31473,01-04-2024,Debit Card,Shipped
1064,Vikram Kumar,Camera,4,36305,23-05-2024,Debit Card,Cancelled
1065,Rahul Roy,Camera,1,46610,25-06-2024,UPI,Shipped
1066,Sneha Sen,Camera,3,39746,16-09-2024,Credit Card,Delivered
1067,Neha Verma,Camera,2,16420,18-06-2024,Net Banking,Pending
1068,Karan Mehta,Smartwatch,5,30675,10-10-2024,Cash,Shipped
1069,Sneha Sen,Laptop,5,16642,06-06-2024,Net Banking,Shipped
1070,Neha Verma,Laptop,4,29302,05-05-2024,UPI,Pending
1071,Rahul Roy,Laptop,4,10957,18-10-2024,Net Banking,Cancelled
1072,Anjali Singh,Headphones,2,12287,11-12-2024,Debit Card,Cancelled
1073,Amit Sharma,Mobile,4,14508,11-08-2024,Debit Card,Shipped
1074,Karan Mehta,Camera,4,12715,14-02-2024,Cash,Pending
1075,Neha Verma,Headphones,4,5693,11-05-2024,Cash,Delivered
1076,Priya Das,Smartwatch,3,8708,25-09-2024,Debit Card,Shipped
1077,Priya Das,Laptop,3,9459,23-03-2024,Cash,Cancelled
1078,Rahul Roy,Camera,2,17606,05-09-2024,Net Banking,Pending
1079,Priya Das,Headphones,5,49789,07-09-2024,Net Banking,Cancelled
1080,Karan Mehta,Headphones,5,3078,20-07-2024,Cash,Pending
1081,Riya Patel,Laptop,5,36237,18-11-2024,Debit Card,Cancelled
1082,Priya Das,Headphones,2,3632,10-11-2024,Credit Card,Pending
1083,Karan Mehta,Mobile,3,11123,19-02-2024,Net Banking,Delivered
1084,Sneha Sen,Headphones,2,33234,09-04-2024,Net Banking,Delivered
1085,Riya Patel,Camera,3,10199,27-07-2024,Credit Card,Pending
1086,Riya Patel,Headphones,3,22481,16-10-2024,Debit Card,Delivered
1087,Sneha Sen,Smartwatch,5,32036,26-05-2024,Debit Card,Pending
1088,Amit Sharma,Laptop,5,17349,13-03-2024,Debit Card,Shipped
1089,Vikram Kumar,Camera,2,31300,19-05-2024,Credit Card,Pending
1090,Neha Verma,Camera,5,2386,02-06-2024,Cash,Delivered
1091,Priya Das,Mobile,1,9203,30-12-2024,Net Banking,Cancelled
1092,Sneha Sen,Camera,3,42097,13-02-2024,Debit Card,Cancelled
1093,Karan Mehta,Mobile,5,32347,05-03-2024,Debit Card,Cancelled
1094,Vikram Kumar,Tablet,5,41377,13-12-2024,Net Banking,Pending
1095,Priya Das,Mobile,4,43373,16-03-2024,Credit Card,Cancelled
1096,Riya Patel,Tablet,4,19475,28-03-2024,Debit Card,Cancelled
1097,Riya Patel,Laptop,2,49638,10-03-2024,UPI,Delivered
1098,Amit Sharma,Mobile,3,17545,17-04-2024,Net Banking,Shipped
1099,Arjun Gupta,Headphones,2,12904,29-05-2024,Net Banking,Shipped
1100,Vikram Kumar,Headphones,4,29496,31-05-2024,Cash,Cancelled
1101,Vikram Kumar,Tablet,2,7355,24-11-2024,Credit Card,Delivered
1102,Sneha Sen,Smartwatch,3,16483,26-11-2024,Net Banking,Cancelled
1103,Vikram Kumar,Smartwatch,2,36503,12-07-2024,UPI,Delivered
1104,Priya Das,Mobile,3,43064,25-08-2024,Credit Card,Cancelled
1105,Karan Mehta,Smartwatch,1,4395,09-05-2024,Debit Card,Pending
1106,Anjali Singh,Headphones,4,3206,24-02-2024,Cash,Delivered
1107,Neha Verma,Headphones,5,38797,19-06-2024,UPI,Pending
1108,Sneha Sen,Smartwatch,5,40826,24-01-2024,UPI,Shipped
1109,Priya Das,Mobile,5,39459,01-11-2024,Cash,Delivered
1110,Vikram Kumar,Camera,2,6500,05-08-2024,Cash,Pending
1111,Anjali Singh,Tablet,1,46360,19-02-2024,Cash,Shipped
1112,Amit Sharma,Tablet,3,24518,09-04-2024,Debit Card,Delivered
1113,Vikram Kumar,Headphones,2,24245,28-01-2024,UPI,Delivered
1114,Priya Das,Laptop,3,14219,18-09-2024,Debit Card,Pending
1115,Neha Verma,Headphones,2,19656,30-03-2024,UPI,Delivered
1116,Riya Patel,Tablet,5,3109,04-05-2024,Credit Card,Pending
1117,Arjun Gupta,Headphones,3,47579,14-06-2024,Cash,Delivered
1118,Priya Das,Tablet,5,48191,04-09-2024,Cash,Delivered
1119,Priya Das,Laptop,1,2779,30-05-2024,UPI,Shipped
1120,Karan Mehta,Headphones,1,19324,03-08-2024,Debit Card,Shipped
1121,Neha Verma,Mobile,4,30924,30-01-2024,Net Banking,Delivered
1122,Amit Sharma,Mobile,3,16855,19-05-2024,Net Banking,Delivered
1123,Karan Mehta,Headphones,2,41671,03-11-2024,UPI,Shipped
1124,Karan Mehta,Tablet,2,34797,17-03-2024,Debit Card,Delivered
1125,Arjun Gupta,Camera,5,49398,16-02-2024,Cash,Cancelled
1126,Sneha Sen,Laptop,4,43445,15-06-2024,Credit Card,Delivered
1127,Karan Mehta,Camera,3,10911,24-03-2024,Net Banking,Cancelled
1128,Priya Das,Tablet,1,1631,20-03-2024,Net Banking,Pending
1129,Sneha Sen,Laptop,5,5473,13-11-2024,Net Banking,Shipped
1130,Amit Sharma,Headphones,3,28592,24-09-2024,UPI,Cancelled
1131,Priya Das,Smartwatch,1,2330,01-07-2024,UPI,Cancelled
1132,Rahul Roy,Tablet,4,39964,10-03-2024,Debit Card,Shipped
1133,Rahul Roy,Tablet,1,47924,13-05-2024,Net Banking,Delivered
1134,Priya Das,Laptop,1,29927,18-03-2024,Credit Card,Pending
1135,Neha Verma,Smartwatch,1,39461,26-10-2024,Cash,Delivered
1136,Sneha Sen,Tablet,5,49537,17-10-2024,Cash,Shipped
1137,Anjali Singh,Tablet,5,32769,26-08-2024,UPI,Pending
1138,Anjali Singh,Headphones,2,20789,28-01-2024,Credit Card,Pending
1139,Karan Mehta,Smartwatch,2,23942,21-11-2024,Credit Card,Pending
1140,Vikram Kumar,Headphones,5,43768,22-01-2024,Debit Card,Pending
1141,Karan Mehta,Mobile,4,31401,24-04-2024,Cash,Pending
1142,Amit Sharma,Headphones,5,15122,23-04-2024,Credit Card,Delivered
1143,Priya Das,Laptop,3,24974,31-03-2024,Debit Card,Shipped
1144,Priya Das,Mobile,4,9898,01-02-2024,Debit Card,Pending
1145,Riya Patel,Laptop,4,23170,24-05-2024,Debit Card,Pending
1146,Anjali Singh,Mobile,4,30774,10-12-2024,UPI,Pending
1147,Priya Das,Mobile,2,11370,08-02-2024,Net Banking,Delivered
1148,Neha Verma,Smartwatch,4,41955,11-02-2024,Cash,Cancelled
1149,Neha Verma,Tablet,1,43199,25-03-2024,Debit Card,Cancelled
1150,Vikram Kumar,Tablet,4,14441,22-06-2024,Cash,Cancelled
1151,Anjali Singh,Laptop,3,27167,05-03-2024,Cash,Pending
1152,Sneha Sen,Mobile,5,24640,24-02-2024,Credit Card,Delivered
1153,Anjali Singh,Mobile,2,16206,21-04-2024,UPI,Delivered
1154,Neha Verma,Headphones,4,15616,12-09-2024,UPI,Cancelled
1155,Amit Sharma,Laptop,5,5965,06-03-2024,Net Banking,Cancelled
1156,Neha Verma,Headphones,5,5394,09-02-2024,Cash,Shipped
1157,Vikram Kumar,Tablet,2,2669,30-10-2024,Debit Card,Delivered
1158,Sneha Sen,Headphones,2,3662,27-02-2024,UPI,Delivered
1159,Sneha Sen,Camera,3,10334,19-03-2024,Net Banking,Delivered
1160,Karan Mehta,Smartwatch,2,24421,17-02-2024,Net Banking,Shipped
1161,Riya Patel,Tablet,3,14916,30-05-2024,Credit Card,Pending
1162,Vikram Kumar,Camera,4,6396,27-09-2024,UPI,Cancelled
1163,Priya Das,Headphones,1,2150,26-07-2024,Net Banking,Cancelled
1164,Arjun Gupta,Headphones,1,25371,12-06-2024,Net Banking,Shipped
1165,Riya Patel,Headphones,4,27185,05-01-2024,UPI,Pending
1166,Rahul Roy,Tablet,2,19093,08-03-2024,Net Banking,Cancelled
1167,Sneha Sen,Camera,5,10071,28-05-2024,Net Banking,Pending
1168,Neha Verma,Mobile,3,45296,04-02-2024,Cash,Shipped
1169,Karan Mehta,Smartwatch,1,45195,02-05-2024,UPI,Delivered
1170,Riya Patel,Laptop,1,45824,28-01-2024,UPI,Delivered
1171,Rahul Roy,Laptop,3,9551,29-02-2024,Credit Card,Cancelled
1172,Anjali Singh,Headphones,5,17853,23-05-2024,Net Banking,Shipped
1173,Priya Das,Headphones,4,40066,03-04-2024,Net Banking,Pending
1174,Priya Das,Camera,1,17502,14-05-2024,Cash,Delivered
1175,Anjali Singh,Laptop,5,17685,25-02-2024,UPI,Pending
1176,Sneha Sen,Camera,5,7602,18-01-2024,Net Banking,Cancelled
1177,Rahul Roy,Laptop,4,37453,08-03-2024,Cash,Shipped
1178,Karan Mehta,Mobile,3,45926,18-02-2024,Credit Card,Delivered
1179,Karan Mehta,Camera,1,7678,14-03-2024,Net Banking,Delivered
1180,Priya Das,Laptop,4,1866,06-09-2024,Cash,Pending
1181,Sneha Sen,Camera,1,44080,28-08-2024,Credit Card,Delivered
1182,Rahul Roy,Mobile,1,40102,20-06-2024,Debit Card,Shipped
1183,Rahul Roy,Tablet,1,40296,11-08-2024,Cash,Pending
1184,Vikram Kumar,Mobile,1,9753,27-12-2024,Debit Card,Shipped
1185,Anjali Singh,Headphones,1,20647,18-01-2024,UPI,Pending
1186,Amit Sharma,Mobile,4,11279,16-04-2024,UPI,Cancelled
1187,Riya Patel,Camera,3,41140,14-03-2024,Credit Card,Pending
1188,Amit Sharma,Laptop,5,3609,27-07-2024,Credit Card,Shipped
1189,Neha Verma,Tablet,3,30663,02-02-2024,Net Banking,Pending
1190,Amit Sharma,Laptop,2,742,01-10-2024,Net Banking,Delivered
1191,Karan Mehta,Camera,5,38879,09-05-2024,UPI,Delivered
1192,Rahul Roy,Mobile,3,17199,19-01-2024,Credit Card,Cancelled
1193,Riya Patel,Camera,2,12376,29-05-2024,Debit Card,Delivered
1194,Riya Patel,Headphones,5,18559,16-11-2024,UPI,Shipped
1195,Amit Sharma,Mobile,4,20438,18-02-2024,UPI,Delivered
1196,Neha Verma,Laptop,2,1591,17-11-2024,Credit Card,Shipped
1197,Arjun Gupta,Tablet,5,5606,20-08-2024,Cash,Cancelled
1198,Anjali Singh,Mobile,3,23254,05-03-2024,Cash,Shipped
1199,Anjali Singh,Mobile,2,17386,28-06-2024,UPI,Pending
